"RegionName","City","State","Metro","CountyName","SizeRank","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02","2016-03","2016-04","2016-05","2016-06","2016-07","2016-08","2016-09","2016-10","2016-11","2016-12","2017-01","2017-02","2017-03","2017-04","2017-05","2017-06","2017-07","2017-08","2017-09","2017-10","2017-11"
"10025","New York","NY","New York","New York",1,,,,,,,,,,,,,2812.5,2937.5,3125,3000,2995,3000,3000,3000,3195,3200,3000,3142.5,3400,3500,3500,3500,3300,3300,3400,3200,3200,3200,3100,3200,3295,3235,3250,3285,3300,3300,3350,3350,3350,3295,3500,3400,3650,3700,3700,3500,3599,3500,3495,3400,3499,3500,3499.5,3400,3500,3650,3600,3500,3650,3795,3542,3600,3500,3500,3400,3487.5,3500,3500,3500,3497.5,3500,3500,3500,3500,3495,3400,3399,3395,3500,3500,3645
"60657","Chicago","IL","Chicago","Cook",2,,,,,1575,1557,1600,1600,1600,1695,1675,1600,1695,1700,1695,1675,1650,1600,1600,1600,1650,1695,1700,1695,1795,1800,1820,1800,1787.5,1750,1650,1700,1700,1795,1795,1762.5,1800,1825,1900,1850,1800,1800,1795,1725,1750,1750,1775,1770,1750,1795,1775,1750,1795,1795,1740,1800,1775,1800,1820,1850,1800,1800,1800,1800,1800,1850,1895,1875,1850,1900,1900,1865,1895,1875,1800,1800,1900,1950,1975,1900,1935,1950,1942.5,1922.5,1895,1850,1850
"10023","New York","NY","New York","New York",3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5195,5295,5110,5110,5024,5197.5,4972.5,5000,5450,5265,5000,4950,5000,5069.5,4900,4950,5000,5000,5000,4975,4912.5,5000,4900,4600,4962.5,4900,4800,4875,4798,4800,4900,4900,4900,4995,4950,4900,4860,5000,5087.5,5000
"77494","Cinco Ranch","TX","Houston","Fort Bend",4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1484,1482,1443.5,1430.5,1425,1439,1436,1675,1562.5,1450,1547.5,1528,1582,1550,1550,1560,1489.5,1437.5,1552.5,1528,1459.5,1526.5,1600,1604.5,1590,1627.5,1610,1639.5
"75070","McKinney","TX","Dallas-Fort Worth","Collin",5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1315,1300,1300,1325,1266.5,1330,1425,1330,1264,1255,1330,1417.5,1330,1275,1306,1303,1367.5,1403.5,1378,1392,1439,1389.5,1321,1251,1301,1365,1363,1287,1352,1413,1287,1375,1353,1321,1293.5,1322.5,1320,1313,1434.5,1465,1475,1370,1392,1451,1511.5,1493,1439
"60614","Chicago","IL","Chicago","Cook",6,,,,,,1700,1697.5,1645,1650,1725,1775,1780,1805,1900,1895,1950,1950,1875,1800,1870,1900,2000,2035,2275,2300,2400,2250,2300,2200,2100,1860,1975,2050,1995,1962.5,2035,2100,2100,2200,2200,2200,2100,2100,1995,1899,1982.5,1999,1995,1995,1995,2100,2095,2100,1995,1800,1975,1995,1995,1950,1995,1995,1992.5,2037,2000,2000,2200,2185,2055,2000,2052.5,1975,1995,1995,2125,1992.5,2000,2000,2060,2050,2060,2075,2047.5,2060,2000,2000,1999,2000
"77084","Houston","TX","Houston","Harris",7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1186,1193,1186,1187,1169,1277,1143,1169,1152,1152,1115,1058,1165,1183,1116,1139,1166.5,1196,1228,1265,1186
"10002","New York","NY","New York","New York",8,,,,,,2500,2500,2600,2675,2750,2750,2850,2850,2995,3100,3300,3200,3000,3100,3000,3095,3100,3000,3095,3100,3195,3100,3100,3100,3100,3195,3200,3200,3295,3200,3125,3100,3100,3100,3100,3100,3100,3100,3150,3200,3245,3200,3225,3200,3137.5,3250,3262.5,3150,3200,3225,3300,3295,3300,3295,3295,3295,3254,3237.5,3197.5,3300,3393,3400,3295,3300,3495,3250,3295,3300,3199.5,3387,3200,3200,3300,3300,3300,3400,3412.5,3300,3295,3250,3229,3100
"60640","Chicago","IL","Chicago","Cook",9,,,,,,1300,1295,1297.5,1305,1375,1305,1325,1350,1357.5,1310,1350,1395,1395,1350,1395,1395,1400,1450,1495,1495,1477.5,1450,1450,1450,1425,1410,1400,1465,1500,1500,1500,1522.5,1495,1475,1475,1495,1475,1495,1495,1500,1500,1525,1550,1560,1499,1500,1495,1495,1505,1475,1500,1550,1500,1550,1595,1600,1575,1525,1500,1550,1525,1595,1550,1595,1595,1537.5,1550,1595,1550,1500,1545,1600,1600,1695,1650,1650,1600,1600,1625,1600,1585,1550
"10467","New York","NY","New York","Bronx",10,,,,,,,,,,,,,1400,1400,1400,1400,1400,1395,1400,1400,1400,1400,1400,1450,1400,1450,1380,1475,1450,1400,1450,1450,1450,1500,1500,1500,1490,1495,1450,1450,1450,1450,1450,1450,1485,1400,1450,1450,1450,1430,1475,1500,1500,1500,1500,1500,1500,1500,1550,1500,1500,1550,1550,1500,1550,1550,1597,1600,1600,1600,1600,1595,1650,1600,1650.5,1650,1650,1650,1695,1695,1695,1700,1750,1750,1700,1700,1795
