"RegionName","City","State","Metro","CountyName","SizeRank","2010-02","2010-03","2010-04","2010-05","2010-06","2010-07","2010-08","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02","2016-03","2016-04","2016-05","2016-06","2016-07","2016-08","2016-09","2016-10","2016-11","2016-12","2017-01","2017-02","2017-03","2017-04","2017-05","2017-06","2017-07","2017-08","2017-09","2017-10","2017-11"
"10025","New York","NY","New York","New York",1,,,,,,,,,2537.5,2575,2700,2700,2600,2750,2750,2750,2650,2775,2900,2795,2900,2825,2800,2695,2900,2750,2800,2800,2895,2900,3100,3100,3170,3200,3097,3100,3200,3250,3200,3200,3100,2925,3200,3300,3400,3500,3500,3397.5,3400,3395,3375,3470,3470,3450,3350,3445,3490,3400,3400,3400,3400,3400,3440,3470,3400,3400,3477.5,3500,3500,3500,3500,3500,3492.5,3450,3500,3500,3400,3400,3500,3500,3500,3500,3500,3470,3490,3450,3500,3500,3500,3500,3500,3495,3400,3500
"60657","Chicago","IL","Chicago","Cook",2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2000,1995,1900,1900,1900,1912.5,2000,2150,2100,2200,2000,1950,2000,2000,1950,1950,1925,1985,1900,1950,2100,2125,2000,1745,1850,1795,1897.5,1925,1950,1925,2000,2100,2100,2100,2000,1850,1850,1795
"10023","New York","NY","New York","New York",3,,,,,,,,,,,,,,3500,3500,3397.5,3254,3400,3475,3647.5,3600,3500,3475,3300,3425,3300,3295,3450,3500,3495,3425,3450,3450,3400,3400,3400,3400,3450,3370,3300,3399,3400,3400,3525,3790,3870,3950,3950,3900,3995,4050,3870,4300,3950,3950,3950,4000,3950,3875,3995,3900,3950,3900,3950,3950,3950,3900,3950,3950,3875,3950,3995,3972.5,3995,3950,3882.5,3850,3800,3800,3750,3750,3750,3750,3850,3835,3850,3850,3950,3995,3995,3835,3790,3800,3820
"60614","Chicago","IL","Chicago","Cook",4,,,,,,,,,,,,,1825,1708,1708,1950,1800,1800,1800,1900,1855,1892.5,1860,1835,1950,1999,2000,1845,1900,1999.5,2100,2100,2175,2175,1955,1895,1862.5,1800,1750,1750,1750,1715,1700,1775,2040,2100,2165,2150,2125,2100,2055,1850,2100,2200,2100,2100,2000,2200,2250,2300,2295,2165,2050,2040,2165,2082.5,2020,2000,2000,1995,1970,2003,2180,2100,2100,2112.5,2190,2300,2195,2125,1900,1990,2000,2047.5,2000,2150,2177,2200,2195,2300,2300,2200,2050,2100
"60640","Chicago","IL","Chicago","Cook",5,,,,,,,,,,,,1450,1395,1295,1250,1150,1115,1200,1280,1315,1300,1305,1300,1305,1362.5,1305,1300,1250,1200,1285,1350,1375,1350,1350,1275,1300,1275,1250,1200,1195,1197,1195,1225,1350,1375,1400,1397.5,1400,1350,1362.5,1450,1450,1550,1625,1550,1450,1450,1455,1465,1500,1545,1500,1400,1450,1503,1575,1600,1495,1450,1497.5,1450,1575,1510,1500,1450,1475,1495,1500,1462.5,1500,1500,1475,1495,1535,1590,1650,1550,1550,1550,1500,1500,1500,1450,1495
"94109","San Francisco","CA","San Francisco","San Francisco",6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3800,3500,3987.5,3700,3500,3900,4145,4197,4200,4000,3825,3800,3975,4200,4000,3700,3500
"10016","New York","NY","New York","New York",7,,,,,,,,,,,,,,,2900,2890,2970,3000,3000,2999.5,2975,2975,2950,2900,2995,3000,3025,3150,3200,3195,3195,3195,3200,3200,3100,3050,3075,3100,3125,3200,3200,3200,3200,3200,3400,3400,3400,3500,3500,3500,3450,3382.5,3350,3400,3500,3500,3500,3500,3500,3500,3500,3500,3450,3500,3500,3500,3500,3500,3500,3540,3500,3500,3500,3500,3595,3500,3450,3495,3500,3450,3400,3400,3395,3500,3500,3500,3545,3500,3550,3500,3495,3500,3500,3500
"11375","New York","NY","New York","Queens",8,,,,,,,,,,,,,,1400,1450,1475,1497.5,1500,1562.5,1697.5,1699.5,1450,1500,1675,1600,1550,1675,1700,1700,1750,1750,1700,1700,1650,1750,1750,1750,1650,1650,1750,1750,1875,1925,1950,1895,2000,1825,1850,1800,1800,1775,1800,1800,1897.5,1925,1862.5,1900,1850,1875,1850,1922.5,1872.5,1850,1800,1895,1900,1900,2000,1900,1862.5,1900,1875,1875,1895,1950,1950,1950,1975,1950,1950,1895,1975,1950,1850,1850,1825,1850,1895,1950,1950,1897.5,1897.5,1895,1825
"11235","New York","NY","New York","Kings",9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2350,2725,2975,2500,2500,2500,2500,2500,2475,2550,2685,2700,2572.5,2500
"60647","Chicago","IL","Chicago","Cook",10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1995,2000,1995,1900,2000,1900,1895,2000,2100,1990,1837.5,1850,1997.5,1937.5,1850,1800,1800,1800,1825,1850,1800,1772.5,1950,2000,1900,1800,1900,1800,1800,1800,1850,1850,1855,1900,2125,2200,2200,2150,2250,2200,2100
