"RegionName","City","State","Metro","CountyName","SizeRank","2010-02","2010-03","2010-04","2010-05","2010-06","2010-07","2010-08","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02","2016-03","2016-04","2016-05","2016-06","2016-07","2016-08","2016-09","2016-10","2016-11","2016-12","2017-01","2017-02","2017-03","2017-04","2017-05","2017-06","2017-07","2017-08","2017-09","2017-10","2017-11"
"10025","New York","NY","New York","New York",1,,,,,,,,,,,,,,,,,,,,3400,3072.5,3497.5,3590,3527.5,3263,3300,3450,3400,3250,3225,3400,3500,3650,3470,3445,3300,3300,3400,3425,3480.5,3500,3400,3375,3500,3450,3500,3500,3500,3375,3400,3400,3295,3239,3295,3350,3350,3375,3400,3405,3402.5,3400,3350,3297.5,3350,3300,3267,3375,3402.5,3400,3402.5,3500,3500,3500,3452.5,3405,3375,3375,3400,3400,3400,3400,3500,3400,3405,3400,3297.5,3295,3350,3267,3267,3400,3325,3295,3375
"60657","Chicago","IL","Chicago","Cook",2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1475,1652,1800,1900,1950,2087.5,2200,2150,2350,2197,1970,1833,2050
"10023","New York","NY","New York","New York",3,,,,,,,,,,,,,,3347.5,3293,3100,3130,3147.5,3362.5,3572.5,3588,3787.5,3423,3700,3800,3490,3500,3535,3765,3850,4000,3962.5,3750,3450,3435,3450,3350,3350,3165,3300,3400,3150,3175,3256,3150,3043,3046.5,2862.5,2850,2900,2937.5,3208.5,3195,3061.5,3150,3350,3300,3350,3297.5,3256,3080,3080,3256,3183.5,3300,3350,3350,3325,3208.5,3150,3150,3104.5,3090,3100,3150,3297.5,3295,3115,3300,3200,3208.5,3256,3256,3100,3150,3122.5,3099,3089.5,3080,3175,3175,3172.5,3046.5,3200
"77494","Cinco Ranch","TX","Houston","Fort Bend",4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1950,2000,2100,2100,2150,2150,2100,2150,2100,2100,2100,2100,2100,2200,2299.5,2190,2295,2300,2200,2200,2250,2276.5,2250,2250,2300,2250,2250,2300,2300,2212.5,2200,2200,2200,2150,2100,2150,2200,2112.5,2200,2137.5,2050,2250,2100,1950,2100,1998,2000,2000,2037.5,2000,2075,2100,2100,2200,2325,2250
"75070","McKinney","TX","Dallas-Fort Worth","Collin",5,,,,,,,,,,,,,1450,1495,1500,1600,1595,1575,1562.5,1600,1600,1600,1585,1595,1595,1595,1650,1650,1595,1637.5,1612.5,1595,1595,1600,1650,1662.5,1650,1650,1695,1695,1695,1650,1695,1700,1700,1695,1695,1650,1650,1695,1695,1700,1700,1700,1725,1712.5,1750,1750,1750,1750,1750,1750,1750,1782.5,1795,1795,1795,1800,1795,1795,1837.5,1795,1795,1795,1800,1850,1850,1850,1850,1850,1895,1900,1800,1850,1850,1895,1850,1862.5,1895,1850,1875,1890,1850,1850
"79936","El Paso","TX","El Paso","El Paso",6,,,,,,,,,,,,,,,1100,1100,1050,1050,1000,1025,1090,1085,1000,1050,1050,1095,1095,1025,1100,1100,1050,1050,1000,1000,995,975,995,995,1000,1000,995,1000,1000,1000,995,975,995,995,995,995,995,1000,1000,995,995,995,995,1000,1000,999.5,995,1000,1050,1050,1070,1062.5,1050,1050,1050,1000,1000,1000,1000,1050,1050,1000,1000,1050,995,995,1050,975,995,1000,1000,1050,1050,1050,1050,1095,1050,1050,1037.5,1012.5
"77084","Houston","TX","Houston","Harris",7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1200,1135,1100,1200,1159,1208,1400,1250,1400,1450,1372.5,1325,1350,1325,1340,1300,1350,1350,1350,1395,1400,1397.5,1375,1400,1397.5,1390,1400,1400,1400,1400,1450,1475,1445,1439,1400,1400,1400,1400,1412.5,1450,1450,1450,1450,1450,1450,1400,1449.5,1400,1400,1400,1400,1400,1450,1450,1450,1475,1480,1495,1450,1450
"60640","Chicago","IL","Chicago","Cook",8,,,,,,,,,,,,,,1072.5,1045,1000,1075,1075,1122.5,1100,1150,1200,1250,1225,1225,1197.5,1250,1150,1175,1175,1212.5,1175,1145,1165,1165,1145,1145,1165,1175,1187.5,1200,1095,1150,1165,1157.5,1150,1137.5,1200,1137.5,1150,1150,1150,1200,1182.5,1225,1210,1150,1200,1157.5,1200,1182.5,1350,1217.5,1200,1210,1217.5,1217.5,1237.5,1225,1217.5,1182.5,1200,1157.5,1182.5,1200,1157.5,1200,1160,1112.5,1150,1165,1205,1137.5,1205,1372.5,1250,1217.5,1225,1210,1210,1350,1262.5,1225,1200
"77449","Houston","TX","Houston","Harris",9,,,,,,,,,,,,1285,1200,1200,1250,1200,1200,1200,1200,1200,1200,1195,1200,1200,1200,1250,1250,1300,1250,1250,1250,1277.5,1237.5,1275,1295,1250,1200,1300,1300,1350,1350,1325,1400,1400,1395,1400,1387.5,1350,1305,1300,1345,1387.5,1375,1400,1400,1400,1400,1400,1400,1400,1400,1412.5,1475,1475,1475,1450,1450,1450,1475,1450,1450,1449,1450,1450,1475,1450,1475,1495,1450,1425,1450,1450,1400,1400,1400,1400,1400,1425,1425,1425,1425,1450,1425,1450
"10016","New York","NY","New York","New York",10,,,,,,,,,,,,,,3035,3000,3141,3000,2995,2900,2995,3200,3400,3295,3272.5,3195,3095,3090,3100,3195,3195,3177.5,3200,3262.5,3295,3275,3252.5,3291,3255,3295,3295,3300,3200,3298,3298,3366.5,3324,3390,3347,3311.5,3311.5,3335,3402.5,3347,3390,3475,3497.5,3465,3475,3485,3500,3475,3525,3532.5,3557.5,3599.5,3557.5,3500,3587.5,3512.5,3500,3512.5,3532.5,3550,3532.5,3545,3627.5,3599.5,3532.5,3512.5,3557.5,3540,3540,3512.5,3624.5,3557.5,3557.5,3540,3532.5,3575,3609.5,3645,3625,3512.5,3485
"60647","Chicago","IL","Chicago","Cook",11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1950,2300,2375,2600,2400,2500,2500,2250,2250,2437.5,2175,2250
"37013","Nashville","TN","Nashville","Davidson",12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1250,1250,1250,1250,1250,1200,1212.5,1300,1325,1325,1295,1345,1300,1325,1295,1345,1395,1375,1375,1395,1395,1395,1395,1395,1395,1397.5,1462.5,1400,1395,1397.5,1395,1399,1425,1425,1397,1449.5,1495,1450,1495,1419,1495,1495,1495,1495,1495,1509.5,1530,1512.5,1550,1575,1600,1595,1550
"37211","Nashville","TN","Nashville","Davidson",13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1395,1450,1450,1462.5,1572.5,1500,1537.5,1595,1595,1500,1525,1550,1500,1525,1600,1695,1547.5,1595,1585,1595,1600,1595,1495,1600,1495,1625,1595,1597.5,1485,1572.5,1550,1595,1695,1700,1635,1650,1650,1650,1637.5,1697.5,1650,1650
"10011","New York","NY","New York","New York",14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3537.5,3787.5,3585,3487.5,3950,3585,3947.5,4000,3872.5,4000,4097.5,3787.5,4097.5,3825,3825,3775,3825
"10029","New York","NY","New York","New York",15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3447.5,3000,3250,3495,3447.5,3400,3300,3200,3100,3495,3500,3550,3497.5,3400,3497.5,3447.5,3400,3350,3400,3400,3400,3400,3550,3525,3400,3400,3300,3497.5,3500,3550,3550,3550,3550,3550,3550,3500,3550,3572.5,3550,3497.5,3497.5,3500,3497.5,3400,3447.5,3400,3400,3447.5,3495,3447.5
"10128","New York","NY","New York","New York",16,,,,,,,,,,,,,,,,,,,,,,,,,,2895,2850,2925,2600,2800,2800,2750,2800,2775,2695,2710,2695,2750,2862.5,2922.5,2799,2595,2785,2795,2795,2847.5,2795,2845,2795,2737.5,2695,2785,2845,3195,2820,2897.5,3120,3095,3000,3077.5,3030,3000,2845,2897.5,2820,3060,3030,2897.5,2845,3030,2845,2845,2897.5,2950,2845,3000,2820,3030,3030,2897.5,2845,2845,2897.5,3060,2897.5,2845,2795,2897.5,2785,2795,2795,2795,2785,2795
"78660","Pflugerville","TX","Austin","Travis",17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1089,1025,1200,1275,1300,1249,1300,1300,1300,1295,1285,1285,1295,1312.5,1350,1295,1320,1354.5,1375,1350,1367,1375,1345,1350,1350,1350,1350,1375,1387.5,1450,1450,1450,1450,1495,1495,1450,1450,1425,1354.5,1400,1415,1462.5,1450,1425,1415,1450,1375,1500,1550,1550,1595,1550,1595,1595,1595,1595,1560,1550
"77573","League City","TX","Houston","Galveston",18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1800,1872.5,1850,1950,1900,1950,1950,1970,1998,1950,1950,2000,2000,1950
"77584","Pearland","TX","Houston","Brazoria",19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1657.5,1850,1900,1850,1750,1700,1750,1750,1737.5,1750,1800,1800,1892,1975,1995,1950,1937.5,1900,1939.5,1900,2000,2000,1950,1995,2000,2000,2100,1989,2000,1950,1900,1962.5,1995,2000,2000,1985,1950,2000,2000,1897.5,1900,1975,1950,1900,1900,1950,1900,1900,1900,1895,1900,1900,1900
"28269","Charlotte","NC","Charlotte","Mecklenburg",20,,,,1050,1165,1050,1050,1050,1100,1100,995,1000,1000,995,1095,1045,1100,1150,1120,1100,1095,1095,1050,1000,1095,1095,1100,1150,1150,1150,1100,1095,1132,1100,1100,1100,1075,1095,1100,1175,1150,1150,1200,1195,1155,1100,1097.5,1095,1100,1150,1150,1195,1155,1200,1199,1199.5,1195,1195,1195,1200,1195,1200,1275,1275,1280,1275,1298,1275,1275,1247.5,1250,1250,1250,1285,1290,1295,1295,1295,1345,1295,1297.5,1295,1295,1295,1359.5,1350,1425,1425,1445,1400,1400,1440,1425,1450
"94565","Pittsburg","CA","San Francisco","Contra Costa",21,,,,,,,,,,,,,,,1800,1700,1599,1500,1500,1500,1600,1600,1650,1600,1575,1595,1600,1600,1600,1600,1650,1650,1614.5,1650,1650,1650,1650,1680,1677.5,1650,1600,1655,1650,1650,1625,1600,1595,1695,1700,1695,1700,1800,1800,1695,1700,1650,1749,1749,1725,1635,1650,1725,1749,1804.5,1839,1895,1912.5,1959.5,1997.5,1950,1947.5,1995,1909,1950,1900,1850,1925,1958,2000,1972.5,1895,1950,1865,2000,2050,2150,2195,2197.5,2175,2200,2300,2210,2240,2190
"79912","El Paso","TX","El Paso","El Paso",22,,,,,,,,,,,,,,,,,,,,,,,1400,1395,1392.5,1387.5,1400,1400,1400,1400,1487.5,1450,1450,1450,1400,1400,1400,1395,1350,1450,1400,1350,1300,1300,1296,1280,1300,1299,1295,1275,1292.5,1350,1395,1350,1300,1295,1299.5,1295,1300,1350,1350,1350,1350,1350,1300,1350,1395,1300,1285,1295,1295,1295,1272.5,1295,1262.5,1300,1392.5,1385,1300,1300,1200,1300,1245,1250,1295,1250,1250,1300,1300,1298.5,1295,1250,1250,1250
"30349","Riverdale","GA","Atlanta","Clayton",23,,,,,,,,,,,,1000,1100,1000,1000,1050,1000,1000,995,950,950,950,950,995,975,995,950,950,950,975,950,975,950,950,950,950,950,975,950,995,975,975,975,975,995,975,995,995,995,975,975,995,1000,995,995,950,975,985,975,975,995,1025,1012.5,1015,1035,1000,1025,1000,1000,1000,1000,1025,1050,1050,1025,1085,1050,1050,1095,1100,1050,1097.5,1110,1095,1100,1125,1147.5,1185,1195,1150,1195,1172.5,1175,1195
"90046","Los Angeles","CA","Los Angeles-Long Beach-Anaheim","Los Angeles",24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7995,7500,7972.5,7497.5,7500,7350,7350,7600,7995,7997,7250,7225
"20002","Washington","DC","Washington","District of Columbia",25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2895,2800,2775,2900,2900,2975,3000,3000,2900,2900,2812.5,2850,2900
"78130","New Braunfels","TX","San Antonio","Comal",26,,,,,,,,,,,,,,,,,,,,,,1200,1250,1250,1250,1237.5,1250,1262.5,1295,1262.5,1295,1297,1250,1237.5,1262.5,1250,1295,1285,1295,1295,1350,1350,1325,1325,1350,1350,1350,1350,1350,1350,1350,1395,1400,1400,1475,1399.5,1400,1400,1395,1395,1395,1395,1372.5,1425,1400,1400,1497.5,1495,1450,1425,1495,1495,1495,1500,1500,1472.5,1450,1450,1485,1500,1450,1467.5,1450,1495,1500,1512.5,1550,1545,1550,1575,1550,1535,1500,1500
"78613","Cedar Park","TX","Austin","Williamson",27,,,,,,,,,,,,1395,1400,1400,1450,1450,1550,1525,1450,1495,1495,1395,1450,1495,1500,1600,1600,1595,1650,1525,1575,1625,1575,1575,1550,1290,1430,1270,1487.5,1500,1550,1500,1495,1500,1500,1500,1500,1584,1595,1600,1600,1650,1695,1650,1695,1595,1595,1650,1675,1700,1700,1675,1699.5,1750,1750,1700,1700,1695,1675,1695,1750,1719.5,1695,1750,1700,1699,1750,1700,1695,1599,1595,1600,1550,1625,1695,1695,1700,1695,1749.5,1695,1750,1725,1680,1695
"75052","Grand Prairie","TX","Dallas-Fort Worth","Dallas",28,,,,,,,,,,,,,,1395,1395,1450,1305.5,1300,1375,1300,1395,1359,1350,1385,1400,1385,1395,1395,1395,1350,1337.5,1300,1375,1385,1375,1350,1395,1395,1395,1400,1362.5,1350,1350,1350,1350,1350,1397.5,1350,1395,1395,1395,1450,1414.5,1395,1450,1450,1425,1395,1497.5,1425,1447.5,1475,1485,1500,1537.5,1485,1450,1449.5,1525,1499,1497,1500,1420,1485,1495,1525,1495,1522.5,1550,1545,1495,1595,1575,1595,1550,1550,1595,1600,1650,1650,1625,1595,1595,1599.5
